from_id,pro1,to_id
1,中文名,1
1,任免_辞职,2
1,任职,3
1,任职,4
1,任职,5
1,任职,6
1,任职,7
1,任职,8
1,任职,9
1,任职,10
1,任职,11
1,任职,12
1,任职,13
1,任职,14
1,任职,15
1,任职,16
1,任职,17
1,任职,18
1,任职,19
1,任职,20
1,任职,21
1,任职,22
1,任职,23
1,任职,24
1,任职,25
1,任职,26
1,任职,27
1,任职,28
1,任职,29
1,任职,30
1,任职,31
1,任职,32
1,博士后,33
1,博士研究生,34
1,本科,35
1,硕士研究生,36
1,学术兼职,37
1,学术兼职,38
1,学术兼职,39
1,学术兼职,40
1,学术兼职,41
1,学术兼职,42
1,学术兼职,43
1,学术兼职,44
1,学术兼职,45
1,学术兼职,46
1,学术兼职,47
1,学术兼职,48
1,学术兼职,49
1,学术兼职,50
1,学术兼职,51
1,学术兼职,52
1,学术兼职,53
1,学术兼职,54
1,学术兼职,55
1,学术兼职,56
1,学术兼职,57
1,学术兼职,58
1,学术兼职,59
1,学术兼职,60
1,学术兼职,61
1,学术兼职,62
1,社会兼职,63
1,社会兼职,64
1,社会兼职,65
1,社会兼职,66
1,社会兼职,67
1,社会兼职,68
1,社会兼职,69
1,技术工作兼职,70
1,技术工作兼职,71
1,技术工作兼职,72
1,技术工作兼职,73
1,技术工作兼职,74
1,技术工作兼职,75
1,技术工作兼职,76
1,技术工作兼职,77
1,技术工作兼职,78
1,技术工作兼职,79
1,技术工作兼职,80
1,技术工作兼职,81
1,技术工作兼职,82
1,技术工作兼职,83
1,技术工作兼职,84
1,技术工作兼职,85
1,技术工作兼职,86
1,技术工作兼职,87
1,技术工作兼职,88
1,技术工作兼职,89
1,技术工作兼职,90
1,技术工作兼职,91
1,技术工作兼职,92
1,技术工作兼职,93
1,技术工作兼职,94
1,技术工作兼职,95
1,技术工作兼职,96
1,技术工作兼职,97
1,技术工作兼职,98
1,技术工作兼职,99
1,技术工作兼职,100
1,技术工作兼职,101
1,技术工作兼职,102
1,技术工作兼职,103
1,技术工作兼职,104
1,技术工作兼职,105
1,技术工作兼职,106
1,技术工作兼职,107
1,技术工作兼职,108
1,技术工作兼职,109
1,技术工作兼职,110
1,学术报告,111
1,政治面貌,112
1,性别,113
1,民族,114
1,原籍,115
1,主要成就,116
1,主要成就,117
1,代表作品,118
1,代表作品,119
1,代表作品,120
1,出生地,121
1,国籍,122
1,出生日期,123
1,职业,124
1,职业,125
1,职业,126
1,职业,127
1,信仰,128
1,外文名,129
1,曾任职,130
1,毕业院校,131
1,毕业院校,132
1,授予奖项名称,133
1,授予奖项名称,134
1,授予奖项名称,135
1,授予奖项名称,136
1,授予奖项名称,137
1,授予奖项名称,138
1,授予奖项名称,139
1,授予奖项名称,140
1,授予奖项名称,141
1,授予奖项名称,142
1,授予奖项名称,143
1,授予奖项名称,144
1,授予奖项名称,145
1,授予奖项名称,146
1,教育理念,147
1,指导学生,148
1,项目名称,149
1,项目名称,150
1,项目名称,151
1,项目名称,152
1,项目名称,153
1,项目名称,154
1,项目名称,155
1,项目名称,156
1,项目名称,157
1,项目名称,158
1,项目名称,159
1,项目名称,160
1,项目名称,161
1,论著名称,162
1,论著名称,163
1,论著名称,164
1,论著名称,165
1,论著名称,166
1,论著名称,167
1,论著名称,168
1,研究成果名称,169
1,研究成果名称,170
1,研究成果名称,171
1,研究成果名称,172
1,研究成果名称,173
1,研究成果名称,174
1,研究成果名称,175
1,研究成果名称,176
1,研究成果名称,177
1,研究成果名称,178
1,研究成果名称,179
1,研究成果名称,180
1,研究成果名称,181
1,方向,182
1,方向,183
